РАЗМЕР ВОЗРАСТ Цена розница (руб.)
80 6-12 мес. 15800
86 12-18 мес. 15800
92 2-3 года 15800
98 3-4 года 15800
104 4-5 лет 15800
110 5-6 лет 18800
116 6-7 лет 18800
122 7-8 лет 18800
128 8-9 лет 18800
134 9-10 лет 18800
140 10-11 лет 18800
146 11-12 лет 18800
152 12-14 лет 20800
XS/S/M ОТ 15 лет 20800 


РАЗМЕР	ВОЗРАСТ	Цена розница (руб.)
80	6-12 мес.	18800
86	12-18 мес.	18800
92	2-3 года	18800
98	3-4 года	18800
104	4-5 лет	18800
110	5-6 лет	22800
116	6-7 лет	22800
122	7-8 лет	22800
128	8-9 лет	22800
134	9-10 лет	25800
140	10-11 лет	25800
146	11-12 лет	29800
152	12-14 лет	29800
XS/S/M	ОТ 15 лет	35800
